iter	Passed	Remaining
0	0	871
1	1	723
2	2	688
3	2	669
4	3	665
5	3	656
6	4	648
7	5	642
8	5	631
9	6	631
10	6	628
11	7	625
12	8	616
13	8	622
14	9	622
15	10	623
16	10	617
17	11	614
18	11	613
19	12	609
20	13	607
21	13	605
22	14	601
23	14	599
24	15	595
25	15	594
26	16	591
27	17	590
28	17	589
29	18	587
30	18	585
31	19	583
32	19	582
33	20	583
34	21	581
35	21	580
36	22	577
37	22	575
38	23	574
39	23	574
40	24	575
41	25	574
42	25	574
43	26	574
44	26	571
45	27	569
46	28	568
47	28	567
48	29	567
49	29	566
50	30	564
51	30	563
52	31	563
53	32	562
54	32	561
55	33	559
56	33	558
57	34	557
58	34	556
59	35	555
60	35	553
61	36	552
62	37	550
63	37	549
64	38	548
65	38	547
66	39	546
67	39	547
68	40	546
69	41	546
70	41	545
71	42	544
72	42	544
73	43	542
74	43	541
75	44	541
76	45	541
77	45	540
78	46	539
79	46	539
80	47	538
81	47	536
82	48	533
83	48	533
84	49	532
85	50	532
86	50	531
87	51	530
88	51	529
89	52	529
90	52	528
91	53	527
92	54	527
93	54	527
94	55	527
95	55	525
96	56	525
97	57	525
98	57	524
99	58	524
100	58	523
101	59	522
102	59	521
103	60	521
104	61	521
105	61	519
106	62	519
107	62	519
108	63	518
109	64	518
110	64	517
111	65	516
112	65	515
113	66	515
114	66	514
115	67	515
116	67	513
117	68	512
118	69	512
119	69	513
120	70	512
121	71	511
122	71	510
123	72	510
124	72	509
125	73	508
126	73	507
127	74	507
128	75	507
129	75	508
130	76	508
131	77	508
132	77	507
133	78	508
134	79	508
135	79	507
136	80	507
137	81	507
138	81	507
139	82	507
140	83	508
141	84	507
142	84	508
143	85	508
144	86	507
145	86	507
146	87	507
147	88	507
148	88	506
149	89	507
150	90	506
151	90	506
152	91	506
153	92	506
154	92	505
155	93	505
156	94	504
157	94	504
158	95	504
159	96	504
160	96	502
161	97	502
162	97	502
163	98	502
164	99	502
165	100	502
166	100	502
167	101	502
168	102	502
169	102	502
170	103	502
171	104	501
172	104	501
173	105	500
174	106	500
175	106	499
176	107	499
177	107	498
178	108	497
179	109	496
180	109	496
181	110	495
182	110	494
183	111	494
184	112	493
185	112	492
186	113	492
187	114	494
188	115	494
189	115	493
190	116	493
191	117	492
192	117	492
193	118	491
194	119	491
195	119	491
196	120	491
197	121	490
198	121	489
199	122	489
200	123	488
201	123	488
202	124	487
203	124	487
204	125	487
205	126	487
206	127	487
207	128	487
208	128	487
209	129	488
210	130	487
211	131	487
212	131	487
213	132	487
214	133	487
215	134	487
216	134	486
217	135	486
218	136	485
219	136	485
220	137	484
221	137	483
222	138	483
223	139	482
224	140	482
225	140	481
226	141	481
227	141	480
228	142	479
229	143	479
230	143	478
231	144	478
232	145	478
233	145	477
234	146	477
235	147	476
236	147	476
237	148	475
238	149	475
239	149	474
240	150	474
241	151	473
242	151	473
243	152	472
244	153	471
245	153	470
246	154	469
247	154	469
248	155	468
249	155	467
250	156	466
251	156	465
252	157	464
253	158	464
254	158	463
255	159	462
256	159	462
257	160	462
258	161	461
259	162	461
260	162	460
261	163	460
262	163	459
263	164	458
264	165	458
265	166	458
266	166	457
267	167	456
268	167	456
269	168	455
270	169	454
271	169	453
272	170	453
273	170	452
274	171	451
275	171	450
276	172	449
277	172	449
278	173	448
279	174	447
280	174	446
281	175	446
282	175	445
283	176	444
284	177	444
285	177	443
286	178	443
287	178	442
288	179	441
289	179	440
290	180	439
291	181	438
292	181	438
293	182	437
294	182	436
295	183	435
296	183	435
297	184	434
298	184	433
299	185	432
300	186	432
301	186	431
302	187	430
303	187	429
304	188	429
305	188	428
306	189	427
307	189	426
308	191	427
309	191	427
310	192	426
311	192	425
312	193	424
313	193	423
314	194	423
315	195	422
316	195	421
317	196	420
318	196	420
319	197	419
320	197	418
321	198	417
322	198	416
323	199	415
324	199	414
325	200	414
326	200	413
327	201	412
328	201	411
329	202	411
330	202	410
331	203	409
332	203	408
333	204	407
334	205	407
335	205	406
336	206	405
337	206	404
338	207	404
339	207	403
340	208	402
341	208	401
342	209	400
343	209	399
344	210	399
345	210	398
346	211	397
347	211	396
348	212	396
349	212	395
350	213	394
351	213	393
352	214	393
353	214	392
354	215	391
355	216	390
356	216	390
357	217	389
358	217	388
359	218	388
360	218	387
361	219	386
362	219	386
363	220	385
364	221	384
365	221	384
366	222	383
367	222	382
368	223	381
369	223	381
370	224	380
371	224	379
372	225	379
373	226	378
374	226	377
375	227	376
376	227	375
377	227	375
378	228	374
379	229	373
380	229	373
381	230	372
382	230	371
383	231	370
384	231	370
385	232	369
386	232	368
387	233	367
388	233	367
389	234	366
390	234	365
391	235	365
392	235	364
393	236	363
394	237	363
395	237	362
396	238	361
397	238	361
398	239	360
399	239	359
400	240	359
401	241	358
402	241	357
403	242	357
404	242	356
405	243	355
406	243	354
407	243	354
408	244	353
409	244	352
410	245	351
411	246	351
412	246	350
413	247	349
414	247	349
415	248	348
416	248	347
417	249	346
418	249	346
419	250	345
420	250	344
421	251	344
422	251	343
423	252	342
424	252	342
425	253	341
426	253	340
427	254	339
428	254	339
429	255	338
430	255	337
431	256	337
432	256	336
433	257	335
434	258	335
435	258	334
436	259	333
437	259	333
438	260	332
439	260	331
440	261	330
